8.81E+02							-1.72E-05
8.86E+02							-1.74E-05
8.92E+02							-1.40E-05
8.98E+02							-1.80E-05
9.03E+02							-1.58E-05
9.09E+02							-1.30E-05
9.14E+02							-1.58E-05
9.19E+02							-1.64E-05
9.25E+02							-1.15E-05
9.30E+02							-1.54E-05
9.36E+02							-1.47E-05
9.41E+02							-1.80E-05
9.46E+02							-2.04E-05
9.51E+02							-1.90E-05
9.57E+02							-1.55E-05
9.62E+02							-1.36E-05
9.67E+02							-1.76E-05
9.72E+02							-1.70E-05
9.78E+02							-1.40E-05
9.83E+02							-1.80E-05
9.88E+02							-1.70E-05
9.93E+02							-1.58E-05
9.99E+02							-1.37E-05
1.00E+03							-1.84E-05
1.01E+03							-1.82E-05
1.02E+03							-1.53E-05
1.02E+03							-2.00E-05
1.03E+03							-1.76E-05
1.03E+03							-2.00E-05
1.04E+03							-1.82E-05
1.04E+03							-1.93E-05
1.05E+03							-1.97E-05
1.05E+03							-2.24E-05
1.06E+03							-1.80E-05
1.06E+03							-1.54E-05
1.07E+03							-2.08E-05
1.08E+03							-1.73E-05
1.08E+03							-2.10E-05
1.09E+03							-1.57E-05
1.09E+03							-1.76E-05
1.10E+03							-1.84E-05
1.10E+03							-1.35E-05
1.11E+03							-1.86E-05
1.11E+03							-1.48E-05
1.12E+03							-1.74E-05
1.12E+03							-1.68E-05
1.13E+03							-2.12E-05
1.13E+03							-1.37E-05
1.14E+03							-1.66E-05
1.14E+03							-1.80E-05
1.15E+03							-1.50E-05
1.16E+03							-1.50E-05
1.16E+03							-1.80E-05
1.17E+03							-1.50E-05
1.17E+03							-1.98E-05
1.18E+03							-1.84E-05
1.18E+03							-1.42E-05
1.19E+03							-2.14E-05
1.19E+03							-1.32E-05
1.20E+03							-1.67E-05
1.20E+03							-1.74E-05
1.21E+03							-1.63E-05
1.22E+03							-1.88E-05
1.22E+03							-1.68E-05
1.23E+03							-1.45E-05
1.23E+03							-1.78E-05
1.24E+03							-2.04E-05
1.24E+03							-1.85E-05
1.25E+03							-1.64E-05
1.25E+03							-2.14E-05
1.26E+03							-1.55E-05
1.26E+03							-2.02E-05
1.27E+03							-2.32E-05
1.27E+03							-1.42E-05
1.28E+03							-1.83E-05
1.29E+03							-1.92E-05
1.29E+03							-2.26E-05
1.30E+03							-1.80E-05
1.30E+03							-1.78E-05
1.31E+03							-1.84E-05
1.31E+03							-1.40E-05
1.32E+03							-2.10E-05
1.32E+03							-1.72E-05
1.33E+03							-1.98E-05
1.34E+03							-1.55E-05
1.34E+03							-1.30E-05
1.35E+03							-1.86E-05
1.35E+03							-1.43E-05
1.36E+03							-1.56E-05
1.36E+03							-1.80E-05
1.37E+03							-1.68E-05
1.37E+03							-2.14E-05
1.38E+03							-1.48E-05
1.38E+03							-1.42E-05
1.39E+03							-2.06E-05
1.39E+03							-1.72E-05
1.40E+03							-1.68E-05
1.40E+03							-1.48E-05
1.41E+03							-1.78E-05
1.42E+03							-1.82E-05
1.42E+03							-1.42E-05
1.43E+03							-1.88E-05
1.43E+03							-1.63E-05
1.44E+03							-1.84E-05
1.44E+03							-1.90E-05
1.45E+03							-1.58E-05
1.45E+03							-1.63E-05
1.46E+03							-2.13E-05
1.47E+03							-1.78E-05
1.47E+03							-1.23E-05
1.48E+03							-2.04E-05
1.48E+03							-1.86E-05
1.49E+03							-1.53E-05
1.49E+03							-1.70E-05
1.50E+03							-2.30E-05
1.50E+03							-1.67E-05
1.51E+03							-1.53E-05
1.52E+03							-1.98E-05
1.52E+03							-1.42E-05
1.53E+03							-1.80E-05
1.53E+03							-1.96E-05
1.54E+03							-1.64E-05
1.54E+03							-1.28E-05
1.55E+03							-1.97E-05
1.55E+03							-1.40E-05
1.56E+03							-1.92E-05
1.56E+03							-1.88E-05
1.57E+03							-1.88E-05
1.58E+03							-1.18E-05
1.58E+03							-1.57E-05
1.59E+03							-2.04E-05
1.59E+03							-1.73E-05
1.60E+03							-2.26E-05
1.60E+03							-1.46E-05
1.61E+03							-2.00E-05
1.61E+03							-1.38E-05
1.62E+03							-1.62E-05
1.62E+03							-1.78E-05
1.63E+03							-1.27E-05
1.64E+03							-2.28E-05
1.64E+03							-2.06E-05
1.65E+03							-1.76E-05
1.65E+03							-1.25E-05
1.66E+03							-1.74E-05
1.66E+03							-1.86E-05
1.67E+03							-1.35E-05
1.67E+03							-1.68E-05
1.68E+03							-2.38E-05
1.68E+03							-1.30E-05
1.69E+03							-1.90E-05
1.69E+03							-1.92E-05
1.70E+03							-1.52E-05
1.70E+03							-1.92E-05
1.71E+03							-1.32E-05
1.72E+03							-1.74E-05
1.72E+03							-1.94E-05
1.73E+03							-1.40E-05
1.73E+03							-1.68E-05
1.74E+03							-1.92E-05
1.74E+03							-1.62E-05
1.75E+03							-2.02E-05
1.75E+03							-1.68E-05
1.76E+03							-1.62E-05
1.76E+03							-2.20E-05
1.77E+03							-1.80E-05
1.78E+03							-1.56E-05
1.78E+03							-1.88E-05
1.79E+03							-1.90E-05
1.79E+03							-1.52E-05
1.80E+03							-1.96E-05
1.80E+03							-2.04E-05
1.81E+03							-1.65E-05
1.81E+03							-1.34E-05
1.82E+03							-2.02E-05
1.82E+03							-1.43E-05
1.83E+03							-2.34E-05
1.83E+03							-1.90E-05
1.84E+03							-1.77E-05
1.85E+03							-1.78E-05
1.85E+03							-1.96E-05
1.86E+03							-1.62E-05
1.86E+03							-2.04E-05
1.87E+03							-1.49E-05
1.87E+03							-1.96E-05
1.88E+03							-1.77E-05
1.88E+03							-2.20E-05
1.89E+03							-2.12E-05
1.89E+03							-1.58E-05
1.90E+03							-2.02E-05
1.90E+03							-2.30E-05
1.91E+03							-1.66E-05
1.91E+03							-1.98E-05
1.92E+03							-1.73E-05
1.93E+03							-1.78E-05
1.93E+03							-1.88E-05
1.94E+03							-2.28E-05
1.94E+03							-1.68E-05
1.95E+03							-1.78E-05
1.95E+03							-2.16E-05
1.96E+03							-1.93E-05
1.96E+03							-1.90E-05
1.97E+03							-1.82E-05
1.97E+03							-2.20E-05
1.98E+03							-1.83E-05
1.99E+03							-2.20E-05
1.99E+03							-1.92E-05
2.00E+03							-2.22E-05
2.00E+03							-1.63E-05
2.01E+03							-2.14E-05
2.01E+03							-2.14E-05
2.02E+03							-1.23E-05
2.02E+03							-2.06E-05
2.03E+03							-1.62E-05
2.03E+03							-2.10E-05
2.04E+03							-1.82E-05
2.05E+03							-1.77E-05
2.05E+03							-1.52E-05
2.06E+03							-1.98E-05
2.06E+03							-2.20E-05
2.07E+03							-1.27E-05
2.07E+03							-1.60E-05
2.08E+03							-2.16E-05
2.08E+03							-1.76E-05
2.09E+03							-1.58E-05
2.10E+03							-1.96E-05
2.10E+03							-1.60E-05
2.11E+03							-1.98E-05
2.11E+03							-1.72E-05
2.12E+03							-1.83E-05
2.12E+03							-2.22E-05
2.13E+03							-2.12E-05
2.13E+03							-1.62E-05
2.14E+03							-1.70E-05
2.15E+03							-1.34E-05
2.15E+03							-2.00E-05
2.16E+03							-1.85E-05
2.16E+03							-1.53E-05
2.17E+03							-2.08E-05
2.17E+03							-1.48E-05
2.18E+03							-1.53E-05
2.19E+03							-2.08E-05
2.19E+03							-1.92E-05
2.20E+03							-1.94E-05
2.20E+03							-2.20E-05
2.21E+03							-1.97E-05
2.21E+03							-2.10E-05
2.22E+03							-2.02E-05
2.22E+03							-2.02E-05
2.23E+03							-1.67E-05
2.23E+03							-1.96E-05
2.24E+03							-1.70E-05
2.24E+03							-1.80E-05
2.25E+03							-1.48E-05
2.26E+03							-1.88E-05
2.26E+03							-1.67E-05
2.27E+03							-1.98E-05
2.27E+03							-1.90E-05
2.28E+03							-2.37E-05
2.28E+03							-2.16E-05
2.29E+03							-1.80E-05
2.29E+03							-1.65E-05
2.30E+03							-1.96E-05
2.30E+03							-1.78E-05
2.31E+03							-2.04E-05
2.32E+03							-1.85E-05
2.32E+03							-1.98E-05
2.33E+03							-1.98E-05
2.33E+03							-1.73E-05
2.34E+03							-2.00E-05
2.34E+03							-2.06E-05
2.35E+03							-1.76E-05
2.35E+03							-1.82E-05
2.36E+03							-1.82E-05
2.36E+03							-2.04E-05
2.37E+03							-1.58E-05
2.37E+03							-1.98E-05
2.38E+03							-1.92E-05
2.38E+03							-1.52E-05
2.39E+03							-1.66E-05
2.40E+03							-1.98E-05
2.40E+03							-1.92E-05
2.41E+03							-1.92E-05
2.41E+03							-1.67E-05
2.42E+03							-2.26E-05
2.42E+03							-1.35E-05
2.43E+03							-1.98E-05
2.43E+03							-2.10E-05
2.44E+03							-1.77E-05
2.44E+03							-2.12E-05
2.45E+03							-1.77E-05
2.45E+03							-2.12E-05
2.46E+03							-1.87E-05
2.47E+03							-2.42E-05
2.47E+03							-1.54E-05
2.48E+03							-1.87E-05
2.48E+03							-2.04E-05
2.49E+03							-1.67E-05
2.49E+03							-2.42E-05
2.50E+03							-1.65E-05
2.50E+03							-2.00E-05
2.51E+03							-1.87E-05
2.52E+03							-2.18E-05
2.52E+03							-2.12E-05
2.53E+03							-1.57E-05
2.53E+03							-2.30E-05
2.54E+03							-1.70E-05
2.54E+03							-2.28E-05
2.55E+03							-2.50E-05
2.55E+03							-1.82E-05
2.56E+03							-1.95E-05
2.57E+03							-2.05E-05
2.57E+03							-2.16E-05
2.58E+03							-2.12E-05
2.58E+03							-2.00E-05
2.59E+03							-1.87E-05
2.59E+03							-1.94E-05
2.60E+03							-2.42E-05
2.60E+03							-1.52E-05
2.61E+03							-2.13E-05
2.61E+03							-1.82E-05
2.62E+03							-2.18E-05
2.63E+03							-2.12E-05
2.63E+03							-2.36E-05
2.64E+03							-2.03E-05
2.64E+03							-2.07E-05
2.65E+03							-2.52E-05
2.65E+03							-1.73E-05
2.66E+03							-1.72E-05
2.66E+03							-2.10E-05
2.67E+03							-2.37E-05
2.68E+03							-2.20E-05
2.68E+03							-1.72E-05
2.69E+03							-1.88E-05
2.69E+03							-1.84E-05
2.70E+03							-1.77E-05
2.70E+03							-2.28E-05
2.71E+03							-1.60E-05
2.71E+03							-1.65E-05
2.72E+03							-1.84E-05
2.73E+03							-1.83E-05
2.73E+03							-1.80E-05
2.74E+03							-1.83E-05
2.74E+03							-2.14E-05
2.75E+03							-1.80E-05
2.75E+03							-1.77E-05
2.76E+03							-2.24E-05
2.77E+03							-1.69E-05
2.77E+03							-2.06E-05
2.78E+03							-2.02E-05
2.78E+03							-1.60E-05
2.79E+03							-1.82E-05
2.79E+03							-1.70E-05
2.80E+03							-1.83E-05
2.81E+03							-2.28E-05
2.81E+03							-1.63E-05
2.82E+03							-2.28E-05
2.82E+03							-1.40E-05
2.83E+03							-2.24E-05
2.83E+03							-1.80E-05
2.84E+03							-1.80E-05
2.84E+03							-1.92E-05
2.85E+03							-1.80E-05
2.86E+03							-1.80E-05
2.86E+03							-1.80E-05
2.87E+03							-2.08E-05
2.87E+03							-1.83E-05
2.88E+03							-1.92E-05
2.88E+03							-1.78E-05
2.89E+03							-1.78E-05
2.89E+03							-1.65E-05
2.90E+03							-2.24E-05
2.91E+03							-1.90E-05
2.91E+03							-2.16E-05
2.92E+03							-1.72E-05
2.92E+03							-1.90E-05
2.93E+03							-2.08E-05
2.93E+03							-1.82E-05
2.94E+03							-2.12E-05
2.94E+03							-1.50E-05
2.95E+03							-1.88E-05
2.95E+03							-2.06E-05
2.96E+03							-1.62E-05
2.97E+03							-2.16E-05
2.97E+03							-1.62E-05
2.98E+03							-1.76E-05
2.98E+03							-1.67E-05
2.99E+03							-2.16E-05
2.99E+03							-1.37E-05
3.00E+03							-2.06E-05
3.00E+03							-2.10E-05
3.01E+03							-1.38E-05
3.01E+03							-2.18E-05
3.02E+03							-2.04E-05
3.02E+03							-1.80E-05
3.03E+03							-1.73E-05
3.04E+03							-2.26E-05
3.04E+03							-1.70E-05
3.05E+03							-1.56E-05
3.05E+03							-1.67E-05
3.06E+03							-1.84E-05
3.06E+03							-1.94E-05
3.07E+03							-1.70E-05
3.07E+03							-2.44E-05
3.08E+03							-1.72E-05
3.08E+03							-1.48E-05
3.09E+03							-1.72E-05
3.10E+03							-1.72E-05
3.10E+03							-2.02E-05
3.11E+03							-1.80E-05
3.11E+03							-1.77E-05
3.12E+03							-2.28E-05
3.12E+03							-1.88E-05
3.13E+03							-1.58E-05
3.13E+03							-1.58E-05
3.14E+03							-2.02E-05
3.14E+03							-2.02E-05
3.15E+03							-1.40E-05
3.15E+03							-1.92E-05
3.16E+03							-1.40E-05
3.17E+03							-2.38E-05
3.17E+03							-1.72E-05
3.18E+03							-1.65E-05
3.18E+03							-1.96E-05
3.19E+03							-1.63E-05
3.19E+03							-2.08E-05
3.20E+03							-2.00E-05
3.20E+03							-1.29E-05
3.21E+03							-2.18E-05
3.21E+03							-2.30E-05
3.22E+03							-1.52E-05
3.23E+03							-1.67E-05
3.23E+03							-1.88E-05
3.24E+03							-1.63E-05
3.24E+03							-1.66E-05
3.25E+03							-1.68E-05
3.25E+03							-1.47E-05
3.26E+03							-1.92E-05
3.26E+03							-1.88E-05
3.27E+03							-2.22E-05
3.27E+03							-1.62E-05
3.28E+03							-1.82E-05
3.29E+03							-1.77E-05
3.29E+03							-1.88E-05
3.30E+03							-1.74E-05
3.30E+03							-1.67E-05
3.31E+03							-2.20E-05
3.31E+03							-2.16E-05
3.32E+03							-1.80E-05
3.32E+03							-2.16E-05
3.33E+03							-2.24E-05
3.33E+03							-1.96E-05
3.34E+03							-1.32E-05
3.34E+03							-1.80E-05
3.35E+03							-1.74E-05
3.35E+03							-1.94E-05
3.36E+03							-2.08E-05
3.37E+03							-1.72E-05
3.37E+03							-2.10E-05
3.38E+03							-1.53E-05
3.38E+03							-1.98E-05
3.39E+03							-1.72E-05
3.39E+03							-1.48E-05
3.40E+03							-2.22E-05
3.40E+03							-1.42E-05
3.41E+03							-2.32E-05
3.41E+03							-1.30E-05
3.42E+03							-2.00E-05
3.42E+03							-1.78E-05
3.43E+03							-2.02E-05
3.43E+03							-1.77E-05
3.44E+03							-1.63E-05
3.45E+03							-1.88E-05
3.45E+03							-1.98E-05
3.46E+03							-1.80E-05
3.46E+03							-1.68E-05
3.47E+03							-1.96E-05
3.47E+03							-1.62E-05
3.48E+03							-1.58E-05
3.48E+03							-1.78E-05
3.49E+03							-1.45E-05
3.49E+03							-2.00E-05
3.50E+03							-1.75E-05
3.51E+03							-2.30E-05
3.51E+03							-2.00E-05
3.52E+03							-1.64E-05
3.52E+03							-1.90E-05
3.53E+03							-1.72E-05
3.53E+03							-1.64E-05
3.54E+03							-2.24E-05
3.54E+03							-1.47E-05
3.55E+03							-2.16E-05
3.55E+03							-1.98E-05
3.56E+03							-2.08E-05
3.57E+03							-1.30E-05
3.57E+03							-2.14E-05
3.58E+03							-1.88E-05
3.58E+03							-2.34E-05
3.59E+03							-1.62E-05
3.59E+03							-1.65E-05
3.60E+03							-2.30E-05
3.60E+03							-2.26E-05
3.61E+03							-1.78E-05
3.61E+03							-1.90E-05
3.62E+03							-1.60E-05
3.63E+03							-1.92E-05
3.63E+03							-1.74E-05
3.64E+03							-2.16E-05
3.64E+03							-1.94E-05
3.65E+03							-1.72E-05
3.65E+03							-2.34E-05
3.66E+03							-1.90E-05
3.66E+03							-1.87E-05
3.67E+03							-1.98E-05
3.67E+03							-1.18E-05
3.68E+03							-2.10E-05
3.68E+03							-1.90E-05
3.69E+03							-1.76E-05
3.69E+03							-1.83E-05
3.70E+03							-1.77E-05
3.71E+03							-2.06E-05
3.71E+03							-1.98E-05
3.72E+03							-1.43E-05
3.72E+03							-1.69E-05
3.73E+03							-2.02E-05
3.74E+03							-1.36E-05
3.74E+03							-2.26E-05
3.75E+03							-2.18E-05
3.75E+03							-1.42E-05
3.76E+03							-2.02E-05
3.77E+03							-1.51E-05
3.77E+03							-1.77E-05
3.78E+03							-2.04E-05
3.78E+03							-1.70E-05
3.79E+03							-1.70E-05
3.79E+03							-2.02E-05
3.80E+03							-1.52E-05
3.80E+03							-2.18E-05
3.81E+03							-1.77E-05
3.81E+03							-1.72E-05
3.82E+03							-2.02E-05
3.82E+03							-2.36E-05
3.83E+03							-1.33E-05
3.83E+03							-2.02E-05
3.84E+03							-1.70E-05
3.85E+03							-2.12E-05
3.85E+03							-2.10E-05
3.86E+03							-1.12E-05
3.86E+03							-2.18E-05
3.87E+03							-2.24E-05
3.87E+03							-1.48E-05
3.88E+03							-1.80E-05
3.88E+03							-1.98E-05
3.89E+03							-1.98E-05
3.89E+03							-1.92E-05
3.90E+03							-2.08E-05
3.90E+03							-2.28E-05
3.91E+03							-1.53E-05
3.91E+03							-2.28E-05
3.92E+03							-1.62E-05
3.93E+03							-2.26E-05
3.93E+03							-1.62E-05
3.94E+03							-2.22E-05
3.94E+03							-1.82E-05
3.95E+03							-1.58E-05
3.95E+03							-1.88E-05
3.96E+03							-2.00E-05
3.96E+03							-1.43E-05
3.97E+03							-1.78E-05
3.97E+03							-1.88E-05
3.98E+03							-2.32E-05
3.98E+03							-1.96E-05
3.99E+03							-2.18E-05
4.00E+03							-1.97E-05
4.00E+03							-2.16E-05
4.01E+03							-1.98E-05
4.01E+03							-1.75E-05
4.02E+03							-1.72E-05
4.02E+03							-2.10E-05
4.03E+03							-2.04E-05
4.03E+03							-1.87E-05
